436,3085,2968,3081,2968,3227,436,3232,0.9997305
1222,397,1833,400,1833,498,1221,496,0.9996799
86,3275,2968,3268,2968,3421,87,3427,0.99967825
87,946,2968,953,2968,1100,86,1093,0.9996753
87,562,2968,567,2968,709,87,703,0.9996636
174,4825,2881,4824,2881,4975,174,4976,0.99963737
1746,2689,2969,2695,2968,2855,1745,2849,0.9996276
87,757,2968,754,2968,903,87,906,0.9996222
87,1331,2968,1341,2968,1483,86,1473,0.9995933
87,3469,2968,3465,2968,3618,87,3622,0.99959105
87,1521,2968,1525,2968,1670,87,1666,0.9995852
87,1731,2793,1725,2794,1864,87,1870,0.9995788
86,3676,2968,3668,2968,3805,87,3813,0.9995598
86,2307,2968,2301,2968,2456,87,2462,0.99955815
87,2685,1484,2689,1484,2846,86,2842,0.99955577
86,4251,2968,4239,2969,4398,87,4410,0.999554
87,1142,2969,1164,2968,1298,86,1276,0.99955386
87,2888,2793,2884,2794,3048,87,3052,0.999551
87,2487,2968,2491,2968,2651,87,2647,0.9995302
87,4450,2968,4451,2968,4590,87,4589,0.9995296
87,3863,2968,3860,2968,4001,87,4004,0.99952674
87,4053,2968,4050,2968,4196,87,4199,0.99952304
87,2102,2968,2110,2968,2286,86,2277,0.99952114
87,4630,2881,4633,2881,4785,87,4783,0.9995036
2706,397,2968,397,2968,516,2706,515,0.99950194
348,1926,2968,1919,2968,2071,349,2078,0.9994985
